StartDate,EndDate,Status,IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7,Q8
27/02/2019 11:12,27/02/2019 11:17,IP Address,<removed>,273,TRUE,27/02/2019 11:17,29604204010,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,9,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,,7
27/02/2019 11:02,27/02/2019 11:18,IP Address,<removed>,994,TRUE,27/02/2019 11:18,96375546390,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,8,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,stupid search engine ,6
27/02/2019 11:18,27/02/2019 11:25,IP Address,<removed>,394,TRUE,27/02/2019 11:25,55700535773,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Professional, Resourceful, Quiet",8
27/02/2019 10:39,27/02/2019 11:31,IP Address,<removed>,3077,TRUE,27/02/2019 11:31,57302055198,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,8,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,search special_characters journals,8
27/02/2019 11:10,27/02/2019 11:39,IP Address,<removed>,1727,TRUE,27/02/2019 11:39,79167895424,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Education Library,9,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,No opinion,Very satisfied,No opinion,excellent intellectual engaging,8
27/02/2019 11:47,27/02/2019 11:53,IP Address,<removed>,310,TRUE,27/02/2019 11:53,86004619188,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"easy, fast, fun",10
27/02/2019 12:00,27/02/2019 12:08,IP Address,<removed>,527,TRUE,27/02/2019 12:08,55897400720,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,9,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,,8
27/02/2019 13:00,27/02/2019 13:03,IP Address,<removed>,201,TRUE,27/02/2019 13:03,31039634954,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,very good,10
27/02/2019 13:00,27/02/2019 13:05,IP Address,<removed>,346,TRUE,27/02/2019 13:05,5673776023,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,,9
27/02/2019 13:00,27/02/2019 13:07,IP Address,<removed>,391,TRUE,27/02/2019 13:07,7293674154,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",Innovation Library (at Okanagan Regional Library in downtown Kelowna),10,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,,8
27/02/2019 13:00,27/02/2019 13:07,IP Address,<removed>,376,TRUE,27/02/2019 13:07,18277522377,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",The Commons (Okanagan),10,No opinion,No opinion,No opinion,Very satisfied,Very satisfied,No opinion,No opinion,"helpful, clear, concise",10
27/02/2019 13:00,27/02/2019 13:08,IP Address,<removed>,451,TRUE,27/02/2019 13:08,14261563968,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"resourceful, relevant, reliable",10
27/02/2019 13:00,27/02/2019 13:08,IP Address,<removed>,489,TRUE,27/02/2019 13:08,30768976163,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,10
27/02/2019 13:01,27/02/2019 13:08,IP Address,<removed>,440,TRUE,27/02/2019 13:08,24942759331,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,,9
27/02/2019 13:03,27/02/2019 13:10,IP Address,<removed>,395,TRUE,27/02/2019 13:10,7457136326,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,10
27/02/2019 13:03,27/02/2019 13:10,IP Address,<removed>,430,TRUE,27/02/2019 13:10,36502384736,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,,8
27/02/2019 13:01,27/02/2019 13:10,IP Address,<removed>,585,TRUE,27/02/2019 13:10,16519940171,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,"simple, useful",8
27/02/2019 13:01,27/02/2019 13:11,IP Address,<removed>,568,TRUE,27/02/2019 13:11,76767586663,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,"Easy, Friendly, Responsive",7
27/02/2019 13:00,27/02/2019 13:12,IP Address,<removed>,713,TRUE,27/02/2019 13:12,84791944920,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",The Commons (Okanagan),8,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,Very satisfied,No opinion,Somewhat satisfied,"Good, clear, simple",7
27/02/2019 13:00,27/02/2019 13:12,IP Address,<removed>,742,TRUE,27/02/2019 13:12,73959020126,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,
27/02/2019 13:07,27/02/2019 13:13,IP Address,<removed>,343,TRUE,27/02/2019 13:13,90809274330,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person","Irving K. Barber Learning Centre (Chapman Learning Commons / Music, Art & Architecture Library)",7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,No opinion,"complicated, confusing, structure",5
27/02/2019 12:59,27/02/2019 13:13,IP Address,<removed>,846,TRUE,27/02/2019 13:13,32470979306,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,,8
27/02/2019 13:00,27/02/2019 13:13,IP Address,<removed>,780,TRUE,27/02/2019 13:13,97283336838,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,"Easy to use, helpful and informative",9
27/02/2019 13:06,27/02/2019 13:13,IP Address,<removed>,394,TRUE,27/02/2019 13:13,4026946218,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have visited UBC Library in person,UBC Okanagan Library,7,,,,,,,,,
27/02/2019 13:05,27/02/2019 13:14,IP Address,<removed>,560,TRUE,27/02/2019 13:14,30833591406,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,,8
27/02/2019 13:01,27/02/2019 13:16,IP Address,<removed>,878,TRUE,27/02/2019 13:16,61813998632,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Diversified Clean Inspiring,8
27/02/2019 13:07,27/02/2019 13:16,IP Address,<removed>,528,TRUE,27/02/2019 13:16,75270568513,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Very satisfied,Great educational tool,10
27/02/2019 13:00,27/02/2019 13:16,IP Address,<removed>,955,TRUE,27/02/2019 13:16,7201300980,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,"Central, Effective, Organized",8
27/02/2019 13:10,27/02/2019 13:16,IP Address,<removed>,362,TRUE,27/02/2019 13:16,92298338932,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,"efficient, confusing, engaging",7
27/02/2019 13:06,27/02/2019 13:17,IP Address,<removed>,700,TRUE,27/02/2019 13:17,84689426132,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,"Easy, comprehensive, helpful",9
27/02/2019 13:06,27/02/2019 13:18,IP Address,<removed>,735,TRUE,27/02/2019 13:18,3028598175,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,No opinion,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Good,8
27/02/2019 13:13,27/02/2019 13:19,IP Address,<removed>,399,TRUE,27/02/2019 13:19,34517400527,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"Welcoming, belonging, friends ",8
27/02/2019 13:09,27/02/2019 13:20,IP Address,<removed>,621,TRUE,27/02/2019 13:20,95700097237,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,,8
27/02/2019 13:09,27/02/2019 13:20,IP Address,<removed>,713,TRUE,27/02/2019 13:20,55042108068,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,,9
27/02/2019 13:13,27/02/2019 13:21,IP Address,<removed>,456,TRUE,27/02/2019 13:21,13666122658,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very dissatisfied,Somewhat dissatisfied,No opinion,No opinion,No opinion,No opinion,Somewhat satisfied,,4
27/02/2019 13:00,27/02/2019 13:21,IP Address,<removed>,1277,TRUE,27/02/2019 13:21,24322268351,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Good,7
27/02/2019 13:06,27/02/2019 13:22,IP Address,<removed>,978,TRUE,27/02/2019 13:22,23176871728,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,9
27/02/2019 13:14,27/02/2019 13:23,IP Address,<removed>,501,TRUE,27/02/2019 13:23,5869487984,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",The Commons (Okanagan),8,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,,10
27/02/2019 13:15,27/02/2019 13:24,IP Address,<removed>,522,TRUE,27/02/2019 13:24,51748849607,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,7
27/02/2019 13:15,27/02/2019 13:24,IP Address,<removed>,516,TRUE,27/02/2019 13:24,43496639167,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,very good,9
27/02/2019 13:15,27/02/2019 13:25,IP Address,<removed>,588,TRUE,27/02/2019 13:25,21920973204,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,6,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,,6
27/02/2019 13:07,27/02/2019 13:26,IP Address,<removed>,1116,TRUE,27/02/2019 13:26,22987696874,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,broken-search remote,7
27/02/2019 13:12,27/02/2019 13:26,IP Address,<removed>,832,TRUE,27/02/2019 13:26,84117680748,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,No opinion,Very satisfied,Very satisfied,No opinion,Very satisfied,Somewhat satisfied,"Efficient, quick",9
27/02/2019 13:07,27/02/2019 13:29,IP Address,<removed>,1338,TRUE,27/02/2019 13:29,80204448192,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,10,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,very good,10
27/02/2019 13:20,27/02/2019 13:30,IP Address,<removed>,604,TRUE,27/02/2019 13:30,17157865212,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Conprehensive,9
27/02/2019 13:20,27/02/2019 13:31,IP Address,<removed>,635,TRUE,27/02/2019 13:31,6947445244,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No opinion,No opinion,Somewhat satisfied,,8
27/02/2019 13:03,27/02/2019 13:35,IP Address,<removed>,1925,TRUE,27/02/2019 13:36,35520324023,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,No opinion,Somewhat dissatisfied,helpful confusion useful,7
27/02/2019 13:01,27/02/2019 13:36,IP Address,<removed>,2096,TRUE,27/02/2019 13:36,11272731710,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,No opinion,Very satisfied,,8
27/02/2019 13:34,27/02/2019 13:45,IP Address,<removed>,668,TRUE,27/02/2019 13:45,5111825355,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",The Commons (Okanagan),9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,,9
27/02/2019 13:39,27/02/2019 13:46,IP Address,<removed>,420,TRUE,27/02/2019 13:46,45230242252,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,6,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,"Vast, compartmentalized, connected",8
27/02/2019 13:38,27/02/2019 13:47,IP Address,<removed>,522,TRUE,27/02/2019 13:47,58240532396,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Woodward Library,9,Very satisfied,Very satisfied,No opinion,Very satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,,7
27/02/2019 13:24,27/02/2019 13:47,IP Address,<removed>,1389,TRUE,27/02/2019 13:47,13725009640,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,9
27/02/2019 13:44,27/02/2019 13:51,IP Address,<removed>,453,TRUE,27/02/2019 13:51,67957279628,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,,9
27/02/2019 13:48,27/02/2019 13:52,IP Address,<removed>,243,TRUE,27/02/2019 13:52,88943326449,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,,Somewhat dissatisfied,Somewhat dissatisfied,,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,,9
27/02/2019 13:43,27/02/2019 13:56,IP Address,<removed>,738,TRUE,27/02/2019 13:56,77148952055,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,No opinion,Very satisfied,Very satisfied,Somewhat satisfied,No opinion,No opinion,,9
27/02/2019 13:39,27/02/2019 13:56,IP Address,<removed>,997,TRUE,27/02/2019 13:56,87930259263,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,8,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,"confusing homepage, needs more short link on homepage ",6
27/02/2019 13:47,27/02/2019 13:56,IP Address,<removed>,542,TRUE,27/02/2019 13:56,40044478413,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,"Stimulating, Focusing, Friendly ",7
27/02/2019 13:51,27/02/2019 14:02,IP Address,<removed>,663,TRUE,27/02/2019 14:02,78005718556,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have visited UBC Library in person,UBC Okanagan Library,8,,,,,,,,,
27/02/2019 13:58,27/02/2019 14:06,IP Address,<removed>,454,TRUE,27/02/2019 14:06,62499706930,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,Somewhat satisfied,"query driven, informative, lots of options",8
27/02/2019 14:00,27/02/2019 14:06,IP Address,<removed>,332,TRUE,27/02/2019 14:06,45992437684,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,No opinion,Very satisfied,Very satisfied,Very satisfied,No opinion,Somewhat satisfied,,8
27/02/2019 13:27,27/02/2019 14:07,IP Address,<removed>,2386,TRUE,27/02/2019 14:07,57608951161,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,No opinion,,
27/02/2019 13:43,27/02/2019 14:10,IP Address,<removed>,1643,TRUE,27/02/2019 14:10,11791422948,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,6
27/02/2019 13:43,27/02/2019 14:13,IP Address,<removed>,1846,TRUE,27/02/2019 14:13,34074491161,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,"Comprehensive, disorientating, useful",8
27/02/2019 14:07,27/02/2019 14:15,IP Address,<removed>,462,TRUE,27/02/2019 14:15,6140304796,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"Useful, Manageable, Daily",10
27/02/2019 14:08,27/02/2019 14:16,IP Address,<removed>,424,TRUE,27/02/2019 14:16,98058565966,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,5,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,4
27/02/2019 14:09,27/02/2019 14:16,IP Address,<removed>,370,TRUE,27/02/2019 14:16,30779627419,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have not visited UBC Library in person or online,,,,,,,,,,,
27/02/2019 14:08,27/02/2019 14:16,IP Address,<removed>,477,TRUE,27/02/2019 14:16,92660547931,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have visited UBC Library in person,UBC Okanagan Library,8,,,,,,,,,
27/02/2019 14:07,27/02/2019 14:17,IP Address,<removed>,621,TRUE,27/02/2019 14:17,19407105116,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,"friendly, useful",8
27/02/2019 13:39,27/02/2019 14:30,IP Address,<removed>,3026,TRUE,27/02/2019 14:30,66497769767,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Accessible; Pleasant; User-friendly,9
27/02/2019 14:32,27/02/2019 14:49,IP Address,<removed>,968,TRUE,27/02/2019 14:49,14848906797,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,9,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,It is awesome ,9
27/02/2019 14:49,27/02/2019 14:52,IP Address,<removed>,168,TRUE,27/02/2019 14:52,82415665478,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,I have not visited UBC Library in person or online,,,,,,,,,,,
27/02/2019 14:49,27/02/2019 14:54,IP Address,<removed>,330,TRUE,27/02/2019 14:54,19916395009,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,I have used the UBC Library website or online services,,,No opinion,No opinion,No opinion,Very satisfied,Somewhat satisfied,No opinion,Somewhat satisfied,"Easy, clean, straightforward",7
27/02/2019 14:58,27/02/2019 15:04,IP Address,<removed>,363,TRUE,27/02/2019 15:04,23125180522,<removed>,<removed>,email,EN,Graduate student,UBC-Vancouver,"I have used the UBC Library website or online services,I have visited UBC Library in person",Koerner Library,10,Very satisfied,Very satisfied,Somewhat satisfied,Very satisfied,No opinion,Very satisfied,Somewhat satisfied,"Organized, fast",9
27/02/2019 15:04,27/02/2019 15:16,IP Address,<removed>,682,TRUE,27/02/2019 15:16,96391141201,<removed>,<removed>,email,EN,Graduate student,UBC-Okanagan,"I have used the UBC Library website or online services,I have visited UBC Library in person",UBC Okanagan Library,7,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,"resourceful, helpful and convenient",8
